subject,startedBy,views,replies,lastPostBy,lastPostDate
[Light Novel][English] Izure Shinwa no Ragnarok,Go-Sick,"3,024",2,HaRan,"June 24, 2019, 10:04:36 pm"
"[WN][PDF] He Didn’t Want to Be the Center of Attention, Hence, after Defeating t",traitorAIZEN,"2,439",1,Amateur,"June 24, 2019, 12:28:30 pm"
[Light Novel][ENG][ERO] Curse Eater,Go-Sick,"1,920",5,Loyd(TheHighWayman),"June 22, 2019, 09:22:28 pm"
[CN][PDF][Eng] Douluo Dalu,traitorAIZEN,"15,350",23,arden,"June 07, 2019, 01:34:01 pm"
[LN][Eng] Million Dollar Bill,Jayanth555,"1,318",1,traitorAIZEN,"June 07, 2019, 10:52:09 am"
[LN][Eng] Strongest Gamer - Let’s Play in Another World,deadline14,"10,803",22,traitorAIZEN,"June 12, 2019, 12:24:08 pm"
[WN][PDF][Eng] I Reincarnated Into a Vending Machine,traitorAIZEN,"4,388",4,alysho10,"June 12, 2019, 05:21:26 am"
[LN][Eng] Division Maneuver -Eiyuu Tensei-,shadow69,"4,318",7,traitorAIZEN,"June 07, 2019, 10:52:01 am"
[LN][Eng] Enemy of the World (Main Character hides his Strength),Kawakigold,"2,084",4,thenonamezz,"June 06, 2019, 02:15:31 pm"
[WN][PDF][Eng] Nihonkoku Shoukan,traitorAIZEN,"3,496",5,Dante Enoshima,"June 09, 2019, 12:29:53 am"
[LN][Eng] Lily Clairet,Kawakigold,"1,018",0,Kawakigold,"June 06, 2019, 02:11:53 am"
[LN][Eng] Redefining the META at VRMMO Academy,Dark Warrior,"3,022",6,mokonaw,"June 06, 2019, 01:34:08 am"
[LN][Eng] Another World’s Zombie Apocalypse Is Not My Problem!,Dark Warrior,"2,665",3,cboy123,"June 04, 2019, 03:13:06 am"
[KR][PDF][Eng] Life Mission,traitorAIZEN,"3,489",7,traitorAIZEN,"June 03, 2019, 10:35:44 pm"
[Light Novel] [English] Papa no Iu Koto o Kikinasai!,Go-Sick,"7,544",4,Harana,"June 03, 2019, 05:54:48 am"
[WN][PDF][ENGLISH] Until Death? ,shirlulu007,"1,373",4,shirlulu007,"May 31, 2019, 06:09:40 pm"
[LN][Eng][PDF] Obsessions of an Otome Gamer,river82,"3,951",4,shadow69,"May 31, 2019, 02:57:49 pm"
[KR][PDF][Eng] God of Tennis,traitorAIZEN,"2,263",7,lackies,"May 31, 2019, 11:42:22 am"
[KN][PDF][Eng] Master Hunter K,traitorAIZEN,"3,966",10,I.ManiacReader,"May 31, 2019, 01:36:13 am"
[LN][Eng] Wolf Children – Ame & Yuki,Dark Warrior,737,0,Dark Warrior,"May 30, 2019, 03:21:16 pm"
[WN][ENGLISH][PDF] TRANSCENDENCE ,shirlulu007,"1,014",0,shirlulu007,"May 28, 2019, 06:49:17 pm"
[LN][ENG][PDF] Boku wa Yappari Kizukanai (I Really Don’t Notice),Go-Sick,"3,661",5,arden,"May 27, 2019, 07:14:50 pm"
[Light Novel][English][Pdf]Ensis Core,arden,"1,425",2,arden,"May 27, 2019, 07:13:50 pm"
[Light Novel][English] NieR:Automata,Go-Sick,"2,732",5,Go-Sick,"May 25, 2019, 08:48:07 pm"
[Light Novel] [English] The Devil's Spice,Go-Sick,"5,576",7,JapaneseFandom,"May 27, 2019, 03:15:54 pm"
[Light Novel] [English] The Weakness of Beatrice the Level Cap Holy Swordswoman,Go-Sick,"8,684",10,Go-Sick,"May 25, 2019, 10:54:12 pm"
[WN][PDF][Eng] Isekai Yururi Kikou ~Raising Children While Being an Adventurer~,traitorAIZEN,"13,846",14,OmegaLKSG,"May 20, 2019, 09:56:35 pm"
[Light Novel] [English] Biblia Koshodou no Jiken Techou,EvilMegaDroid,"5,472",4,Go-Sick,"May 20, 2019, 03:55:37 am"
[WN][PDF][Eng] Upstart Pastry Chef ~Territory Management of a Genius ,traitorAIZEN,"4,732",6,Windborne,"May 18, 2019, 07:59:27 am"
[Light Novel] [English] Zero no Tsukaima,Go-Sick,"15,011",20,lvnrynng18,"April 14, 2019, 08:49:32 pm"
[WN][PDF][Eng] At the Northern Fort,traitorAIZEN,"3,319",6,traitorAIZEN,"April 29, 2019, 09:51:47 pm"
[Light Novel] [English] Boogiepop,Go-Sick,"9,530",16,traitorAIZEN,"May 13, 2019, 04:41:32 pm"
[LN][Eng] My Little Sister Can Read Kanji,Azura Ren,"12,673",21,traitorAIZEN,"May 13, 2019, 04:40:56 pm"
[Light Novel][English] Nee-chan wa Chuunibyou,Go-Sick,"27,109",26,traitorAIZEN,"May 13, 2019, 04:40:46 pm"
[WN] [ENG] [Complete] World Reformation Activities of the Dark God,krysstof,"2,220",0,krysstof,"April 11, 2019, 08:58:12 pm"
"[LN][Eng]I'm a High School Boy and a Bestselling Light Novel author, strangled ",Go-Sick,"6,708",10,Go-Sick,"April 08, 2019, 09:21:12 pm"
[WN][PDF][Eng] Ascendance of a Bookworm,traitorAIZEN,"36,298",51,traitorAIZEN,"April 29, 2019, 04:13:55 pm"
[KN][PDF][Eng] Everyone Else is a Returnee,traitorAIZEN,"8,502",9,Warrior Player,"April 29, 2019, 04:03:15 pm"
[Chinese Novel] [English] [Epub] Against The Gods,EvilMegaDroid,"3,831",3,Trinity,"May 13, 2019, 07:45:33 am"
[LN] Liar Mii-Kun and Broken Maa-chan,Jayanth555,980,0,Jayanth555,"May 13, 2019, 03:02:59 am"
[LN][Eng] Masquerade and the Nameless Women,shadow69,"1,297",2,arden,"May 13, 2019, 01:51:30 am"
"[Web Novel][ENG]Gunota ga Mahou Sekai ni Tensei Shitara, Gendai Heiki de Guntai ",Go-Sick,"12,342",7,Kertxtreme321,"April 08, 2019, 03:29:38 pm"
[LN][Eng] Mia and the Forbidden Medicine Report,shadow69,"1,531",2,Altair545,"April 08, 2019, 11:34:09 am"
[CN][ENG][WN] Peerless Martial God,saca312,"1,674",2,Yoichii,"April 04, 2019, 12:50:40 am"
[WN] [ENG] [PDF] Evil-like Duke Household,krysstof,830,1,krysstof,"April 29, 2019, 02:07:41 pm"
[WN][PDF][Eng] Observation Record of a Self-proclaimed Villainess' Fiance,traitorAIZEN,"4,099",5,hamada_kaori,"April 28, 2019, 05:12:53 pm"
[Light Novel] [English] Bokura wa Dokonimo Hirakanai,Go-Sick,"3,424",1,arden,"May 13, 2019, 12:20:59 am"
[Light Novel][English] Chrome Shelled Regios,Zyibis,"18,329",5,salikin,"April 01, 2019, 11:03:01 am"
[Light Novel] [English] Madan no Ou to Vanadis,Go-Sick,"30,278",23,Go-Sick,"March 31, 2019, 09:14:34 pm"
[LN] Just the Two of Us in This Vast World,Jayanth555,984,0,Jayanth555,"April 27, 2019, 10:09:38 pm"
[Light Novel] [English] Leviathan of the Covenant,Go-Sick,"9,982",13,KuroNamake,"April 26, 2019, 09:17:10 am"
[WN] [ENG] [PDF] [Complete] I quit being a noble and became a commoner,krysstof,"1,486",0,krysstof,"May 09, 2019, 09:35:56 am"
[Light Novel][English] Tatakau Shisho - The Book Of Bantorra,Go-Sick,"5,515",10,Go-Sick,"May 08, 2019, 05:31:30 am"
[Light Novel] [English] DDD (Decoration Disorder Disconnection),Go-Sick,"6,970",2,Go-Sick,"March 31, 2019, 09:12:58 pm"
[Movie][Anime]Dragon Ball Super: Broly [480p][720p] ,Go-Sick,"1,339",5,Go-Sick,"April 23, 2019, 10:48:04 pm"
[Light Novel][English] Highschool DXD,raiputz,"39,182",59,JorgeFFC,"April 23, 2019, 05:10:04 am"
[WN][PDF][Eng] Manuke FPS,traitorAIZEN,"2,132",3,krysstof,"May 08, 2019, 04:54:55 am"
[WN][PDF][Eng] Magi Craft Meister,traitorAIZEN,"26,873",33,rfrfcb3001,"March 30, 2019, 03:47:29 pm"
[LN] Miss Appraiser and the Gallery Demon,Jayanth555,941,0,Jayanth555,"March 30, 2019, 12:46:17 am"
[LN][PDF][Eng] Monku no Tsukeyou ga Nai Rabukome,traitorAIZEN,"6,823",12,OmegaLKSG,"March 26, 2019, 04:49:33 pm"
[Light Novel] [English] Another,Go-Sick,"18,861",22,Swswsws,"April 22, 2019, 01:26:40 am"
[Light Novel] [English] Hibike! Euphonium,Go-Sick,"4,143",3,OmegaLKSG,"April 21, 2019, 10:16:19 pm"
[Light Novel] [English] Bluesteel Blasphemer,shadow69,"18,711",29,Altair545,"April 21, 2019, 02:52:24 pm"
[CN][PDF][Eng] The End Of The World's Poisonous Mom And Monster Baby,traitorAIZEN,"3,124",8,OmegaLKSG,"May 05, 2019, 02:02:26 pm"
[LN][ENG][PDF] Itsuka Sekai wo Sukuu Tame ni – Qualidea Code,Go-Sick,"2,823",2,Go-Sick,"May 03, 2019, 09:09:03 pm"
[LN][Eng] emeth ~Island of Golems~,shadow69,"2,402",1,Go-Sick,"May 03, 2019, 09:07:13 pm"
[LN][ENG] The Reprise of the Spear Hero,shadow69,"4,547",9,Altair545,"March 26, 2019, 07:43:26 am"
[Web Novel][English] The Girl Who Ate a Death God,Go-Sick,"13,721",16,s3577753,"March 22, 2019, 04:09:29 pm"
[LN][Eng]The Ancient Magus' Bride,Jayanth555,"1,308",1,Dark Warrior,"March 19, 2019, 11:09:11 pm"
[LN] [Eng] Gear Drive,Dark Warrior,"2,320",3,Altair545,"April 21, 2019, 02:32:39 pm"
[WN][PDF][Eng] Welcome to the Man-Eating Dungeon,traitorAIZEN,"6,519",4,jepnat19,"April 20, 2019, 12:03:41 am"
[LN][Eng] Dawn of the Mapmaker,shadow69,"1,445",1,traitorAIZEN,"May 03, 2019, 09:40:49 am"
[WN] [ENG] [PDF] Black Summoner (Kuro no Shoukanshi),krysstof,"4,614",7,krysstof,"May 03, 2019, 06:48:52 am"
[WN][PDF][Eng] Kuishinbo Elf,traitorAIZEN,"5,862",6,MaskedHuman,"March 19, 2019, 08:16:21 pm"
[KN][PDF][Eng] The First Hunter,traitorAIZEN,"3,946",11,Based Finn,"March 19, 2019, 08:09:10 am"
[Wn][English] Loner and Juliet,shirlulu007,"1,319",1,Altair545,"March 18, 2019, 04:30:12 am"
[CN][PDF][Eng] Gate of Revelation,traitorAIZEN,"1,369",1,OmegaLKSG,"April 19, 2019, 01:24:34 pm"
[Light Novel] [English] Monster no Goshujin-sama,Go-Sick,"8,414",3,Swswsws,"April 16, 2019, 03:07:55 am"
[Light Novel] [English] Iris on Rainy Days,Go-Sick,"4,050",2,dailang,"April 15, 2019, 10:44:19 pm"
[WN][PDF][Eng] The Demon King’s Daughter is the World’s Strongest but a Shut-In!,traitorAIZEN,"4,166",2,traitorAIZEN,"April 30, 2019, 03:54:16 pm"
[LN] [ENG] [PDF] I am called 『 Black Healer 』 in Another World,krysstof,"2,695",3,krysstof,"March 16, 2019, 02:31:00 pm"
[Light Novel] [English] Naruto Hiden,shadow69,"4,654",4,serenade696969,"March 14, 2019, 06:26:16 pm"
[Light Novel][English] Battlefield: Masurawo,Go-Sick,"1,703",2,Jayanth555,"April 15, 2019, 11:01:29 am"
[LN][Eng] Chuuko demo Koi ga Shitai!,lnwnepubs,"16,630",13,Loyd(TheHighWayman),"April 15, 2019, 02:59:20 am"
[WN][PDF][Eng] Instant Messiah,traitorAIZEN,"1,497",1,Loyd(TheHighWayman),"April 15, 2019, 02:57:57 am"
[WN][PDF][Eng] I Favor the Villainess,traitorAIZEN,"5,916",11,OmegaLKSG,"March 10, 2019, 08:45:02 pm"
[Light Novel][ENG]I'm a Royal Tutor in My Sister's Dress,Go-Sick,"2,540",1,Jayanth555,"March 10, 2019, 06:46:24 am"
[Light Novel][English] O-Ri-Ga-Mi,Go-Sick,"1,644",1,Jayanth555,"February 06, 2019, 07:37:26 am"
[KN][PDF][Eng] Sovereign of Judgement,traitorAIZEN,"7,514",13,Aditi1517,"March 08, 2019, 01:03:59 pm"
[KR][PDF][Eng] Valhalla Saga,traitorAIZEN,"6,641",8,traitorAIZEN,"March 07, 2019, 11:07:33 pm"
[WN][PDF][Eng] Because Janitor-san Is Not a Hero,traitorAIZEN,"4,107",2,traitorAIZEN,"March 04, 2019, 12:14:37 am"
[WN][Eng] Using Gacha to Create My Strongest Girls’ Army Corps in Another World,Azura Ren,"4,074",6,OmegaLKSG,"February 05, 2019, 02:08:33 pm"
[LN][PDF][Eng] The Magus of Genesis,traitorAIZEN,"7,536",7,Altair545,"February 05, 2019, 06:32:02 am"
[Light Novel] [English] Kuzu to Kinka no Qualidea,Go-Sick,"8,504",9,linkie,"March 02, 2019, 08:54:34 pm"
[WN][PDF][Eng] Yandere Megami No Hakoniwa,traitorAIZEN,"10,099",17,Nextasy,"February 28, 2019, 12:15:45 am"
[Light Novel][English] Your and My Asylum,Go-Sick,"5,040",3,Altair545,"February 05, 2019, 06:30:23 am"
[WN][PDF][Eng] Record of Wortenia War,traitorAIZEN,"18,640",19,Kyudoka,"February 04, 2019, 05:11:25 pm"
[Light Novel] [English] Kenja no Deshi wo Nanoru Kenja ,Go-Sick,"14,660",14,Luminous,"January 29, 2019, 12:03:45 pm"
[LN][ENG] The Dark Maidens,shadow69,"2,775",2,alfnheim,"February 27, 2019, 06:53:05 am"
"[WN][PDF][Eng] My Sister the Heroine, and I the Villainess",traitorAIZEN,"2,785",2,Darkhhawk,"February 25, 2019, 01:24:09 pm"
[WN][PDF][Eng] Ototsukai wa Shi to Odoru,traitorAIZEN,"7,833",13,AZ09XO,"February 25, 2019, 09:58:10 am"
[WN][PDF][Eng] Nobunaga’s Imouto is My Wife,traitorAIZEN,"3,944",5,traitorAIZEN,"January 27, 2019, 04:36:49 pm"
[WN][PDF][Eng] Cook of the Mercenary Corp,traitorAIZEN,"2,730",2,shankstick,"January 27, 2019, 10:58:40 am"
[Light Novel] Toshokan Sensou,8man,"4,254",3,arden,"February 22, 2019, 03:50:13 pm"
[LN][PDF][Eng] Flowers for the Forest Beasts,traitorAIZEN,"4,635",7,traitorAIZEN,"February 21, 2019, 04:17:46 am"
[KR][PDF][Eng] Possessing Nothing,traitorAIZEN,"4,130",9,traitorAIZEN,"February 20, 2019, 08:13:28 pm"
[Light Novel] [English] Ore no Kanojo to Osananajimi ga Shuraba Sugiru,Go-Sick,"10,389",9,kropekboi16,"January 26, 2019, 10:59:21 pm"
"[LN][PDF][Eng] Gate: Jieitai Kanochi nite, Kaku Tatakaeri",traitorAIZEN,"40,108",27,Altair545,"January 22, 2019, 10:22:45 pm"
[WN][Eng] Toaru Ossan no VRMMO Katsudouki,Azura Ren,"6,128",6,Azura Ren,"January 19, 2019, 10:18:47 pm"
[Novel] [English] Tsuyokute New Saga,rizkan,"10,916",14,seira00100,"February 18, 2019, 12:08:37 am"
"[WN][PDF][Eng] Because I Was Excluded Out of the Class Transfer, I De",traitorAIZEN,"11,660",8,Hughinja,"February 15, 2019, 01:10:46 am"
[Light Novel][English] Saihate no Paladin (The Faraway Paladin),Go-Sick,"60,393",61,Orion86,"February 11, 2019, 12:10:26 pm"
[Light Novel] [English] Kyoukai Senjou no Horizon – Kimitoasamade,Go-Sick,"4,133",4,seira00100,"January 19, 2019, 04:49:48 am"
[CN][PDF][Eng] Tales of the Reincarnated Lord,traitorAIZEN,"5,805",14,OmegaLKSG,"January 16, 2019, 05:35:35 pm"
[ Light Novel ENG ] Hikaru ga Chikyuu ni Itakoro......by Mizuki Nomura,YummyYummyStrawberry,"1,472",3,traitorAIZEN,"January 16, 2019, 02:32:38 pm"
[WN][PDF][Eng] Charging Magic with a Smile,traitorAIZEN,"9,375",15,13kami,"February 11, 2019, 06:54:01 am"
[Light Novel] [English] Seiun wo Kakeru,Go-Sick,"8,458",7,Si-Saiz,"February 10, 2019, 05:19:54 pm"
[WN][PDF][Eng] Antique of the Galactic War Chronicle,traitorAIZEN,"2,960",3,traitorAIZEN,"February 10, 2019, 04:33:19 pm"
[Light Novel][English] Bungaku Shoujo to Shi ni Tagari no Douke,Alumine,"25,109",14,obsidian_dragonwing,"January 16, 2019, 01:45:28 am"
[LN][PDF][Eng] The Forsaken Hero,traitorAIZEN,"6,435",6,xjacques,"January 15, 2019, 04:48:45 am"
[Web Novel][PDF][English] The Black Knight Who Was Stronger than Even the Hero,traitorAIZEN,"6,434",3,cboy123,"January 14, 2019, 05:25:16 am"
[CN][PDF][Eng] Advent of the Archmage,traitorAIZEN,"7,745",11,lackies,"February 09, 2019, 02:16:22 am"
[Light Novel][English] Hyouketsu Kyoukai no Eden,Alumine,"28,894",14,Jayanth555,"January 13, 2019, 10:02:06 am"
[WebNovel ENG]Skill Taker’s World Domination~Building a Slave Harem from Scratch,Go-Sick,"9,782",11,Hughinja,"January 13, 2019, 08:02:28 am"
[LN][PDF] Erogenous Beauty Salon by Succubus Girls: I Started the Milking Course,traitorAIZEN,"5,216",4,Loyd(TheHighWayman),"January 09, 2019, 08:34:48 pm"
[Light Novel] [English] Allison / Lillia & Treize,Go-Sick,"3,355",2,Go-Sick,"January 06, 2019, 11:11:45 am"
[KR][WN][ENG] Infinite Competitive Dungeon Society,saca312,"3,496",3,AriaPt,"January 05, 2019, 11:18:46 am"
[LN][PDF][Eng] In a Magic Girl's Garden ,traitorAIZEN,"4,286",1,stevenpg994,"December 10, 2018, 09:48:18 am"
[Web Novel][PDF][English] The Evil Organization’s Recruitment Ad,traitorAIZEN,"7,616",9,stevenpg994,"December 09, 2018, 08:40:45 am"
[Light Novel][English] Kokuhaku Yokou Renshuu,Go-Sick,"1,939",1,mors86,"December 08, 2018, 12:28:40 am"
[LN][PDF][Eng] You Shine in the Moonlit Night,traitorAIZEN,"3,612",1,Go-Sick,"November 01, 2018, 04:05:19 pm"
[Light Novel][English] The Reincarnated Person Doesn’t Want to Cheat,Go-Sick,"4,739",1,Altair545,"January 04, 2019, 06:36:15 pm"
[LN][PDF][Eng] Konjiki no Word Master,traitorAIZEN,"14,839",10,Altair545,"January 01, 2019, 05:25:34 pm"
[Light Novel][English] Yakimochi no Kotae,Go-Sick,"1,406",0,Go-Sick,"December 07, 2018, 12:30:38 pm"
[Light Novel] [English] Valhalla no Bangohan,lnwnepubs,"8,402",12,KuroNamake,"December 05, 2018, 09:58:42 am"
[KR][PDF][Eng] A Monster Who Levels Up,traitorAIZEN,"9,703",13,Kaito29,"October 31, 2018, 11:12:47 pm"
[WN][PDF][Eng] Himekishi ga Classmate!,traitorAIZEN,"11,060",8,Reiva12,"October 31, 2018, 02:53:46 am"
[WN][PDF][Eng] Garudeina Oukoku Koukoku Ki,traitorAIZEN,"7,644",5,Altair545,"December 31, 2018, 04:36:00 am"
"[LN][Eng] Reborn as a Vending Machine, I Now Wander the Dungeon",deadline14,"6,624",11,Altair545,"December 31, 2018, 02:52:28 am"
[LN][ENG] Echo,shadow69,"1,607",2,alfnheim,"December 05, 2018, 07:45:34 am"
[Light Novel][English] Pandora Hearts : Caucus Race,Go-Sick,"4,654",3,EmaSkye,"December 01, 2018, 03:32:14 am"
[WN][Eng] Kamigoroshi no Eiyuu to Nanatsu no Seiyaku,lnwnepubs,"10,092",6,lvnrynng18,"November 29, 2018, 06:27:33 pm"
[Light Novel] [English] Manuscript Screening Boy and Manuscript Submitting Girl,Go-Sick,"3,215",1,traitorAIZEN,"October 30, 2018, 12:30:43 am"
[WN][PDF][Eng] My Fiance is in Love with My Little Sister,traitorAIZEN,"1,889",0,traitorAIZEN,"October 28, 2018, 01:19:47 am"
[Light Novel] [English] Kino no Tabi,Go-Sick,"10,918",12,JapaneseFandom,"December 30, 2018, 09:53:36 pm"
[WN][PDF][Eng] Lighning Empress Maid,Rugoru,"2,905",4,traitorAIZEN,"December 28, 2018, 10:22:00 pm"
[Light Novel] [English] Alicemare,Go-Sick,"2,469",1,Jayanth555,"December 28, 2018, 11:39:44 am"
[LN][ENG] The Champions of Justice and the Supreme Ruler of Evil,shadow69,"1,801",1,Go-Sick,"November 28, 2018, 01:17:39 pm"
"[Light Novel] [English] Kono Sekai ga Game da to, Ore dake ga Shitte Iru",Go-Sick,"6,608",5,AriaPt,"November 25, 2018, 10:46:44 am"
[Light Novel][English] Marginal Operation,Go-Sick,"5,169",5,thenonamezz,"October 27, 2018, 10:34:53 pm"
[LN][Eng] Yume Nikki,shadow69,"1,203",1,Jayanth555,"December 24, 2018, 06:56:12 pm"
"[Korean Novel] [English] We Should Have Slept While Only Holding Hands, And Yet?",Nazurdin,"5,044",7,traitorAIZEN,"December 21, 2018, 05:25:21 pm"
[KR][PDF][Eng] Breakers,traitorAIZEN,"2,416",1,XSekundesX,"November 25, 2018, 07:24:58 am"
[LN][ENG][PDF] Kuro no Hiera Glaphicos,KilLaRuNa,"5,129",9,KuroNamake,"November 24, 2018, 03:25:44 pm"
[KN][PDF][Eng] Praise the Orc!,traitorAIZEN,"5,206",11,Eric Rasputin,"October 26, 2018, 11:26:08 pm"
[WN][Eng] Juu Sai no Saikyou Madoushi (The Strongest Ten Year Old Magician),Azura Ren,"2,487",3,Azura Ren,"October 26, 2018, 11:22:21 pm"
[Light Novel] [English] The Dungeon Seeker,EvilMegaDroid,"22,949",15,Akiren,"December 21, 2018, 03:19:27 am"
[Light Novel] [English] Kagerou Days,Go-Sick,"18,187",17,Jayanth555,"December 19, 2018, 08:22:11 pm"
[LN][PDF][Eng] Light Beyond,traitorAIZEN,"4,881",4,traitorAIZEN,"November 24, 2018, 12:01:30 pm"
[LN][Eng] Kusoge Online (BETA),Azura Ren,"6,960",10,Azura Ren,"November 15, 2018, 06:18:35 pm"
[Web Novel] [English]  Ubau Mono Ubawareru Mono ,Go-Sick,"13,467",9,gerome10,"October 25, 2018, 12:29:24 pm"
[Web Novel][English] Isekai Mahou wa Okureteru!,Go-Sick,"38,005",47,ginbei,"October 21, 2018, 02:19:58 pm"
[Light Novel] [RAW] 中古でも恋がしたい! (Chuuko demo Koi ga Shitai!),Go-Sick,"6,025",3,Noctis,"October 20, 2018, 03:41:25 pm"
[Discuss]Good One-Shots and Short Stories Recommendations,OmegaLKSG,"2,010",15,shirlulu007,"December 17, 2018, 11:58:26 am"
"[Light Novel] [English] Tada, Sore Dake de Yokattan Desu",Go-Sick,"4,851",4,Interval,"December 16, 2018, 11:25:01 pm"
[WN][PDF][Eng] The Heavily Armoured Noble Girl Monette,traitorAIZEN,"1,851",1,Loyd(TheHighWayman),"December 15, 2018, 01:00:13 am"
[WN][PDF][Eng] The Other Side of the Last Boss,traitorAIZEN,"13,986",21,1dragon1,"November 09, 2018, 07:57:42 pm"
[WN][PDF][Eng] I Won 4 Billion in a Lottery But I Went to Another World,traitorAIZEN,"7,919",7,keksbaer83,"November 06, 2018, 07:09:15 am"
[Web Novel] [English] Hokuou Kizoku to Moukinzuma no Yukiguni Karigurashi,Go-Sick,"7,710",9,traitorAIZEN,"November 03, 2018, 01:38:55 pm"
[LN][PDF][Eng] Herscherik (Reincarnated Prince Series),traitorAIZEN,"1,805",0,traitorAIZEN,"October 19, 2018, 07:39:04 am"
[Light Novel] [English]  Kamisama no Memochou,Go-Sick,"8,858",8,JapaneseFandom,"October 17, 2018, 02:18:34 am"
[LN] [Eng] Last and First Idol,Dark Warrior,"1,720",1,catjob,"October 14, 2018, 12:04:26 pm"
"[CN][PDF][Eng] Three Lives, Death Exists Not at the River of Oblivion",traitorAIZEN,"1,545",0,traitorAIZEN,"August 14, 2018, 02:07:45 am"
[Light Novel] [English] Monster Hunter The Novel ,Go-Sick,"3,051",1,denis01,"December 14, 2018, 10:09:00 am"
[KN][PDF][Eng] History’s Strongest Manager,traitorAIZEN,"1,906",1,thenonamezz,"December 13, 2018, 01:39:38 pm"
[LN][PDF][Eng] I Want to Eat Your Pancreas,traitorAIZEN,"10,719",4,Dzfc,"December 12, 2018, 12:02:10 am"
[WN][PDF][Eng] The Probability I Can Kill My Wife Without Being Found,traitorAIZEN,"4,256",3,Dashdesu,"November 02, 2018, 07:47:45 pm"
[CN NOVEL] IMMORTAL AND MARTIAL DUAL CULTIVATION EBUBS,Mikoto Shiba,"1,820",1,Mikoto Shiba,"November 02, 2018, 05:40:11 pm"
[LN][PDF][Eng] Rakuin no Monshou,traitorAIZEN,"24,288",21,LivingPoltergeist,"October 11, 2018, 10:34:34 pm"
[LN][English] Ore ga Ojou-Sama Gakkou ni ‘Shomin Sample’ Toshite Gets Sareta Ken,Go-Sick,"9,416",8,Benjiro,"October 11, 2018, 09:08:16 pm"
"Official LN Translation 2017-2018 *Updated April 30,2018*",deadline14,"48,327",33,elliot23,"October 10, 2018, 05:10:52 pm"
[Light Novel][ENG]Girls Kingdom,Go-Sick,"1,888",0,Go-Sick,"August 13, 2018, 11:14:57 am"
"[WN][PDF][Eng] I've Been Reincarnated (Well, Sorry)",traitorAIZEN,"10,785",16,mokonaarappa,"August 11, 2018, 01:05:31 pm"
[WN][PDF][Eng] Swamp Girl!,traitorAIZEN,"1,944",1,MaskedHuman,"August 11, 2018, 01:14:20 am"
[LN][Eng] Mushi-Uta,Alumine,"7,556",4,Go-Sick,"December 11, 2018, 11:59:27 am"
[Light Novel] [Eng] Doudemo ii Sekai Nante -Qualidea Code-,Dark Warrior,"1,961",4,eraldcoil,"July 23, 2018, 09:14:45 am"
[WN][Eng] About the Reckless Girl Who Kept Challenging a Reborn Man Like Me,Azura Ren,"5,386",1,Prothean,"November 02, 2018, 02:07:50 pm"
[WN][PDF][Eng] Undead Seeks Warmth,traitorAIZEN,"5,373",9,traitorAIZEN,"September 28, 2018, 11:51:48 pm"
[LN][PDF][Eng] The Daughter of Evil,traitorAIZEN,"5,003",3,tachibanaren,"September 19, 2018, 10:35:41 pm"
[Web Novel] [English] Evil God Average,Go-Sick,"6,472",6,traitorAIZEN,"August 10, 2018, 07:22:16 pm"
[LN][ENG][PDF] Tales of Leo Attiel – Portrait of the Headless Prince –,Go-Sick,"2,896",2,traitorAIZEN,"August 09, 2018, 11:58:07 pm"
[Light Novel] [English] Hikaru ga Chikyuu ni Itakoro......,Go-Sick,"11,058",8,JapaneseFandom,"August 07, 2018, 04:57:50 pm"
"[LN][ENG] Fireworks, Should We See It from the Side or the Bottom?",shadow69,"1,396",1,Azura Ren,"September 10, 2018, 07:37:06 am"
[Web Novel] [English] Conquering Hero’s Heroines,lnwnepubs,"5,469",2,Crawly,"September 05, 2018, 05:43:35 am"
[Light Novel][English] The Witch’s House: The Diary of Ellen,Go-Sick,"3,261",6,Azura Ren,"July 18, 2018, 11:20:51 pm"
[WN][Eng] My House Is a Magic Power Spot,lnwnepubs,"5,759",2,saca312,"July 18, 2018, 01:34:25 am"
[LN][ENG] The Eccentric Master and the Fake Lover,shadow69,"3,496",11,OmegaLKSG,"September 13, 2018, 02:04:54 pm"
[WN][PDF][Eng]What Came to Mind During My Third Time in Another World Was to for,Rugoru,"2,073",0,Rugoru,"August 06, 2018, 12:52:47 pm"
[WN][PDF] I Appear to have been Reincarnated as a Love Interest in an Otome Game,traitorAIZEN,"3,283",1,adamwiro,"August 02, 2018, 10:51:52 pm"
[LN] [Completed] Your Story,Dark Warrior,"1,425",0,Dark Warrior,"September 04, 2018, 10:06:49 pm"
[Light Novel][English] Starting Over,Go-Sick,"3,991",2,kuu9haku,"August 29, 2018, 02:35:49 pm"
[Light Novel] [RAW+English] Kampfer ,Go-Sick,"6,588",2,obsidian_dragonwing,"July 17, 2018, 12:06:29 pm"
"[Light Novel] [English] Ashita, Boku wa Shinu. Kimi wa Ikikaeru.",Go-Sick,"14,892",21,adamwiro,"July 16, 2018, 06:54:49 pm"
[Light Novel][English] FLCL — Furi Kuri —,Go-Sick,"1,828",1,Go-Sick,"July 16, 2018, 11:32:09 am"
[JP][LN][ENG] A new game from the depths of captivity! ~ Rising from slavery...,saca312,"2,617",2,Azura Ren,"August 02, 2018, 12:23:55 am"
[KR][PDF][Eng] Dungeon Maker,traitorAIZEN,"2,359",0,traitorAIZEN,"July 30, 2018, 10:27:27 pm"
