subject,startedBy,views,replies,lastPostBy,lastPostDate
[WN][PDF][Eng] Last Wish System,traitorAIZEN,"10,529",29,traitorAIZEN,"April 07, 2020, 01:21:43 am"
[KN][PDF][Eng] The Tutorial Is Too Hard,traitorAIZEN,"7,797",19,Mossy,"April 16, 2020, 11:28:11 pm"
[Light Novel] [English] Shinmai Maou no Testament,Go-Sick,"35,243",35,1dragon1,"April 16, 2020, 08:11:37 pm"
[LN][Eng] 86 - Eighty Six,Azura Ren,"29,619",31,traitorAIZEN,"April 06, 2020, 02:41:40 am"
[LN]The Dirty Way to Destroy the Goddess’s Heroes,Jayanth555,"8,044",10,traitorAIZEN,"April 06, 2020, 02:41:31 am"
[KR][PDF][Eng] Arena,traitorAIZEN,"3,253",7,sininenblue,"March 29, 2020, 01:52:22 am"
"[WN][PDF][Eng] Saving 80,000 Gold in an Another World for Retirement",traitorAIZEN,"6,222",8,traitorAIZEN,"March 28, 2020, 07:25:16 pm"
[WN][PDF][Eng] Exterminator,traitorAIZEN,"7,273",13,traitorAIZEN,"March 28, 2020, 07:25:01 pm"
[LN][Eng] The Magic in this Other World is Too Far Behind!,deadline14,"63,511",117,Invidia,"March 18, 2020, 11:08:57 pm"
[LN]Bibliophile Princess,Jayanth555,664,0,Jayanth555,"March 18, 2020, 09:40:01 pm"
[LN][PDF][Eng] Altina the Sword Princess,traitorAIZEN,"44,122",34,traitorAIZEN,"April 06, 2020, 02:41:23 am"
[LN] The World’s Least Interesting Master Swordsman,Jayanth555,"2,545",5,traitorAIZEN,"April 06, 2020, 02:41:15 am"
[Web Novel] [English] Manowa ,lnwnepubs,"9,452",13,traitorAIZEN,"March 28, 2020, 07:24:53 pm"
[CN][PDF][Eng] Tales of Demons and Gods,traitorAIZEN,"16,007",16,Atheist,"March 28, 2020, 01:50:29 pm"
[LN]The White Cat’s Revenge as Plotted from the Dragon King’s Lap,Jayanth555,647,0,Jayanth555,"March 27, 2020, 04:37:00 am"
[WN][PDF][Eng] NPC Town-building Game,traitorAIZEN,"2,708",2,traitorAIZEN,"March 18, 2020, 06:29:43 pm"
[KN][PDF][Eng] The King of the Battlefield,traitorAIZEN,"5,749",11,whoisit,"March 18, 2020, 12:58:58 am"
[LN]Outer Ragna,Jayanth555,"1,620",3,Akiren,"March 16, 2020, 11:46:02 pm"
"[WN][PDF][Eng] I Kinda Came to Another World, but Where’s the Way Home",traitorAIZEN,"9,586",8,Abbatoir,"April 05, 2020, 08:52:56 pm"
[LN]Record of Wortenia War,Jayanth555,"9,685",26,Jayanth555,"April 05, 2020, 09:19:23 am"
[LN] Just a Story About Miyamoto Sakura Being Cute,Jayanth555,"2,081",5,Jayanth555,"April 04, 2020, 11:44:54 pm"
[Light Novel] [English] Gakusen Toshi Asterisk,Go-Sick,"63,574",48,LEOFREEZE FREEZESHOCK,"April 04, 2020, 10:33:19 pm"
[LN]Can Someone Please Explain What’s Going On?!,Jayanth555,966,0,Jayanth555,"March 26, 2020, 03:32:36 am"
[CN][PDF][Eng] The Legendary Mechanic,traitorAIZEN,"4,015",11,DariuszK,"March 26, 2020, 12:02:41 am"
[Light Novel][English] Isekai Quest After School,Go-Sick,"3,258",2,Knightfall,"March 16, 2020, 04:33:17 pm"
[WN][PDF] The Strongest Wizard Becomes a Countryside Guardsman After Taking an A,traitorAIZEN,"5,891",12,shankstick,"March 16, 2020, 07:43:27 am"
"[WN][PDF][Eng] Not Sure, But It Looks Like I Got Reincarnated in Another World",traitorAIZEN,"1,089",0,traitorAIZEN,"March 16, 2020, 01:03:46 am"
[Web Novel] [English] The New Gate,Go-Sick,"48,796",67,traitorAIZEN,"April 05, 2020, 12:56:07 pm"
[LN][PDF][Eng] Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no...,traitorAIZEN,"25,127",31,traitorAIZEN,"April 04, 2020, 05:50:50 am"
[LN][Eng] Toaru Majutsu no Index,Zyibis,"129,875",45,Jayanth555,"April 03, 2020, 09:07:51 am"
"[WN][Eng] Botsuraku Youtei Nanode, Kajishokunin wo Mezasu",Go-Sick,"22,421",27,traitorAIZEN,"March 25, 2020, 10:18:58 pm"
[WN][PDF][Eng] Dragon-san Wants a Friend,traitorAIZEN,"4,146",5,traitorAIZEN,"March 25, 2020, 10:18:50 pm"
[WN][PDF][Eng] Arafoo Kenja no Isekai Seikatsu Nikki,traitorAIZEN,"2,532",2,traitorAIZEN,"March 16, 2020, 01:03:37 am"
[LN]Naze Boku no Sekai wo Dare mo Oboeteinainoka?,Jayanth555,"6,250",6,RinneZanki,"March 15, 2020, 01:14:52 pm"
[Web Novel[]English] I Said Make My Abilities Average!,Go-Sick,"15,364",27,traitorAIZEN,"March 14, 2020, 07:10:30 pm"
[LN] You Call That Service?,Jayanth555,"1,882",2,Jayanth555,"April 03, 2020, 07:11:45 am"
[LN][Eng] Goblin Slayer,deadline14,"300,649",166,ghost dragon,"April 02, 2020, 04:20:13 pm"
[LN][ENG] Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii    ,Go-Sick,"42,866",54,traitorAIZEN,"April 02, 2020, 02:50:09 pm"
[WN][PDF][Eng] Road to Kingdom,traitorAIZEN,"32,298",52,traitorAIZEN,"March 25, 2020, 10:18:42 pm"
[LN][English]Tomodachi no Imouto Ga Ore ni Dake Uzai,bryzc1031,"7,256",15,traitorAIZEN,"March 25, 2020, 10:18:35 pm"
[CN][PDF][Eng] Black Tech Internet Cafe System,traitorAIZEN,"4,983",16,Krampus19,"March 24, 2020, 08:58:30 pm"
[WN][PDF][Eng] The Man Picked Up By the Gods (Reboot),traitorAIZEN,"13,411",17,traitorAIZEN,"March 14, 2020, 07:10:20 pm"
"[WN][PDF][Eng] The Principle of a Philosopher by Eternal Fool ""Asley""",traitorAIZEN,"1,638",1,traitorAIZEN,"March 14, 2020, 07:09:27 pm"
[WN/LN][PDF][Eng] I Was a Sword When I Reincarnated,traitorAIZEN,"33,204",65,shankstick,"March 13, 2020, 08:50:27 pm"
[WN][ENG][PDF]Magical★Explorer ,bryzc1031,"6,274",20,traitorAIZEN,"April 02, 2020, 12:08:16 pm"
[WN][PDF][Eng] Duke's Daughter who is Liable to Die and the Seven Nobles,traitorAIZEN,"7,266",17,traitorAIZEN,"April 02, 2020, 12:07:54 pm"
[WN][Eng] Hisshou Dungeon Unei Houhou,Azura Ren,"6,302",4,KuTa,"March 24, 2020, 03:03:57 am"
[Web Novel / Manga][English] Death March kara Hajimaru Isekai Kyusoukyoku,lnwnepubs,"41,051",52,traitorAIZEN,"March 23, 2020, 07:13:21 pm"
[LN][Eng] Ore no Real to Netgame ga Love Comedy ni Shinshokusare Hajimete Yabai,Azura Ren,"3,311",2,alysho10,"March 23, 2020, 06:03:49 am"
[CN][PDF][Eng] Superstars of Tomorrow,traitorAIZEN,"1,939",4,shankstick,"March 13, 2020, 08:45:32 pm"
[LN] [Eng] JK Haru is a Sex Worker in Another World,Dark Warrior,"18,245",20,【 柴犬 ・ワン!ワン! 】,"March 13, 2020, 01:36:30 pm"
[LN][WN][PDF][Eng] Sevens,traitorAIZEN,"17,710",36,streamin,"March 11, 2020, 11:39:27 pm"
[LN][Eng] Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,Jayanth555,"9,467",21,Jayanth555,"May 03, 2020, 10:20:14 am"
[LN][Eng] I Shall Survive Using Potions,Kawakigold,"6,728",18,Darkhhawk,"April 02, 2020, 03:57:01 am"
[WN][PDF][Eng] Senpensekai no Madoushoshi,Rugoru,603,0,Rugoru,"April 01, 2020, 10:32:19 pm"
[LN][ENG] Nozomanu Fushi no Boukensha,shadow69,"31,408",54,ACast59,"April 01, 2020, 03:24:33 pm"
[LN] The Invincible Shovel,Jayanth555,"1,263",4,OmegaLKSG,"March 21, 2020, 11:16:30 pm"
[Light Novel][English] Log Horizon,drstrange,"63,498",36,krawzer181,"March 21, 2020, 12:56:36 am"
[LN]I Had That Same Dream Again,Jayanth555,"1,132",1,traitorAIZEN,"March 20, 2020, 11:14:51 pm"
[WN][PDF][Eng] Otherworld Nation Founding Chronicles,traitorAIZEN,"12,452",11,Gabriel Leung,"March 10, 2020, 11:14:53 pm"
[WN][Eng] Seichō chīto de nandemo dekiru yō ni natta ga,Go-Sick,"23,823",27,traitorAIZEN,"March 07, 2020, 01:26:21 am"
[LN][PDF] Otonari no Tenshi-sama ni Itsu no Ma ni ka Dame Ningen ni Sareteita Ke,traitorAIZEN,"1,505",2,Jayanth555,"May 03, 2020, 07:29:51 am"
"[WN][PDF] A Demon Lord’s Tale: Dungeons, Monster Girls, and Heartwarming Bliss",traitorAIZEN,"24,489",26,traitorAIZEN,"May 02, 2020, 04:47:43 pm"
[LN][Eng] Outbreak Company,Go-Sick,"26,806",70,traitorAIZEN,"April 01, 2020, 02:22:26 pm"
[Web Novel] [English] Tsuki ga Michibiku Isekai Douchuu,lnwnepubs,"40,267",52,KuTa,"March 30, 2020, 09:22:25 am"
[Light Novel] [English] Re:Zero kara Hajimeru Isekai Seikatsu,Go-Sick,"116,163",102,Zerot98,"March 20, 2020, 02:57:06 am"
[KR][PDF][Eng] Omniscient Reader's Viewpoint,traitorAIZEN,"13,184",21,traitorAIZEN,"March 07, 2020, 01:26:05 am"
[WN][PDF] Isekai ni Kita Boku wa Kiyoubinbode Subaya-sa Tayorina Tabi o Suru,traitorAIZEN,"11,293",13,traitorAIZEN,"May 02, 2020, 04:47:31 pm"
[WN][PDF][Eng] Shinka no Mi,traitorAIZEN,"19,204",31,traitorAIZEN,"May 02, 2020, 04:47:17 pm"
[WN][PDF][Eng] Mezametara Chikashitsu!? ~Tensei Shoujo no Yume no Sak,traitorAIZEN,"8,393",9,Tegual,"March 30, 2020, 12:10:03 am"
[WN][PDF][Eng] The Beginning After the End,traitorAIZEN,"33,678",24,Leifman,"March 30, 2020, 12:08:39 am"
[LN][Eng] Didn’t I Say to Make My Abilities Average in the Next Life?!,Azura Ren,"40,176",95,traitorAIZEN,"March 29, 2020, 01:05:21 pm"
[Light Novel] [English] Juuou Mujin no Fafnir ,Go-Sick,"10,425",7,RinneZanki,"May 01, 2020, 09:26:46 am"
[LN] [Eng] Ascendance of a Bookworm,Dark Warrior,"11,546",26,unimatrix007,"May 01, 2020, 05:09:32 am"
[LN][Eng][New Life+] Young Again in Another World,deadline14,"13,506",38,Rei,"April 30, 2020, 11:57:41 pm"
[WN][PDF][Eng] That Person. Later on…,traitorAIZEN,"27,022",43,OmegaLKSG,"March 29, 2020, 08:57:39 am"
[LN][Eng] A Most Unlikely Hero,Kawakigold,"2,770",2,Kawakigold,"March 29, 2020, 04:59:20 am"
